cc_alias	language	lexeme	status	lexeme_source	cognacy_source	comment
that-A	Toda	adə		Kolipakam fieldwork (A)	Verkerk (B)	Probably an inflected form of the pronoun, not in DED1 though: To. a- (same meaning as Ko.); aQ (obl. an-) that person or thing; pl. aQa·m; adj. a (before consonant), ay (before vowel); aQïd because of that, therefore; aṯ in that direction; aṯik a little in that direction; al in that place, there; aṯs̱n, as̱n from that direction; aḏ on that day; atfok then; at that many; that much; atton just/only that much, in that same way (-ton, cf. 3196 Ta. tāṉ); atk that much; atks̱ at that distance; atatk only so much as that; ato·f such as that; a(g) gïs in that manner; as̱ ïn- to say like that; a·nk to that place; a·na·ṟ towards there, by that road; a·toṭ that bank (is this to be divided to yield 101 oṭ cliff or 3040 *toṭ side?); a mun that side, the other side; a mun no·ṛ the world of the dead (cf. 3638 Ta. nāṭu).
that-A	Tulu	aʋu		Kolipakam fieldwork (A)	Verkerk:DED1 (A)	DED1 - form might refer to a number of these - Tu. āye, āḷů, ārů/ākuḷu, avu (obl. ay-), aykuḷu that man, that woman, those persons, that thing, those things; adj. ā; ātů so much; avuḷu, bauḷu, aḷpa, āmbe there; aḷta of that place; aḷtů thence; aḍe, aḍegů, añci thither; āpe yonder, opposite; āni, āpaga then; āpolē just then; añca thus; añcadè, añcane, añcene just so; añcitti such as that; antuga total.
that-A	Yeruva	aʋe:		Kolipakam fieldwork (A)	Verkerk (B)	good quality look-alike
that-B	Brahui	ae		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:75 (A)	DED764
that-B	Kuwi	et		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:75 (A)	DED764
this-A	Badga	idə		Kolipakam fieldwork (A)	Verkerk (B)	high quality look-alike
this-A	Betta_Kurumba	idə		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike to DED410
this-A	Gondi	id		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:39 (A)	DED410
this-A	Kannada	idhu		Kolipakam fieldwork (A)	Andronov 1964 (A); Burrow Emeneau 1961:DED410 (A)	; DED410
this-A	Kodava	idə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED410 (B)	DED410 - form may be idï : Koḍ. ivën, iva, ivu/ieŋga, idï this man, this woman, these persons, this thing/these things; adj. i·; illi here; illiñji from here; ittï, ittaṭṭi, ippara to this side; ittiñji from this side; i·le by this way; ikka now; ikkatiñji from now on; ikka·kaṇe up to now; ikkale·, ikkanne· just now; iccë, iccakï this many; innatë, intë of this kind; innane, i·taratï in this manner; innata·ŋgï for this purpose; i·naŋguṇḍï on account of this; ippara this side (cf. 3984 To. par par).
this-A	Kolami	id		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:39 (A)	DED410
this-A	Kota	idhə		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:39 (A)	DED410
this-A	Koya	iddu		Kolipakam fieldwork (A)	Verkerk (B)	high quality look-alike
this-A	Kurukh	i:d		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:39 (A)	DED410
this-A	Kuwi	idu		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:39 (A)	DED410
this-A	Malayalam	i:		Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED410 (A)	; DED410
this-A	Malayalam	idə		Kolipakam fieldwork (A)	Verkerk (C)	Highly likely to be a form of the demonstrative i- prefixed to a word, but not listed in DED.
this-A	Malto	i:du		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961 (A)	DED410
this-A	Ollari_Gadba	idə		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:39 (A)	DED410
this-A	Parji	ī		Andronov 1964 (B)	Burrow Emeneau 1961:DED410 (A)	DED410
this-A	Tamil	inta		Andronov 1964 (B)	Andronov 1964 (B); Burrow Emeneau 1961:DED410 (A)	; DED410
this-A	Tamil	idhə		Kolipakam fieldwork (A)	Verkerk (C)	Highly likely to be a form of the demonstrative i- prefixed to a word, but not listed in DED.
this-A	Telugu	ī		Andronov 1964 (B)	Andronov 1964 (B); Burrow Emeneau 1961:DED410 (A)	; DED410
this-A	Telugu	idi		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED410 (A)	DED410 different form of the demonstrative?
this-A	Toda	idə		Kolipakam fieldwork (A)	Verkerk (C)	Highly likely to be a form of the demonstrative i- prefixed to a word, but not listed in DED.
this-A	Yeruva	iʋe:		Kolipakam fieldwork (A)	Verkerk (B)	high quality look-alike
this-B	Tulu	undu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED557 (A)	Tu. undu, undekuḷu this thing, these things (forms of the nearer demonstr.).
this-C	Brahui	da:		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:3 (A)	DED1
thou-A	Badga	ni		Kolipakam fieldwork (A)	Verkerk (B)	high quality look-alike
thou-A	Betta_Kurumba	ni:jə		Kolipakam fieldwork (A)	Dunn (B)	good lookalike
thou-A	Brahui	ni:		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:327 (A)	3684
thou-A	Gondi	nimme		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:327 (A)	3684
thou-A	Kannada	ni:nu		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:327 (A)	; no. 3684, form cited is nīṃ, nīn(u)
thou-A	Kodava	ni:nə		Kolipakam fieldwork (A)	Burrow Emeneau 1961 (A)	DED3684; Koḍ. ni·nï/ni· (obl. nin-/ni·-).
thou-A	Kolami	ni:nu		Kolipakam (fieldwork) (A)	Kolipakam (A)	Based on similarity with Tamil cognate ni:n
thou-A	Kota	ni:ja		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:327 (A)	3684
thou-A	Koya	nimma		Kolipakam fieldwork (A)	Verkerk (B)	high quality look-alike
thou-A	Kurukh	ni:n		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:327 (A)	3684
thou-A	Kuwi	ninu		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:327 (A)	3684
thou-A	Malayalam	ni		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:327 (A)	; no. 3684, form cited is nī
thou-A	Malto	ni:n		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961 (A)	DED3684; Malt. nín (obl. niṉg-).
thou-A	Malto	ni:nu		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961 (A)	DED3684; Malt. nín (obl. niṉg-).
thou-A	Ollari_Gadba	in		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:327 (A)	3684
thou-A	Parji	īn		Andronov 1964 (B)	Burrow Emeneau 1961 (A)	DED3684; Pa. īn (obl. in-).
thou-A	Tamil	ni		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:327 (A)	; no. 3684
thou-A	Telugu	ni:ʋu		Kolipakam fieldwork (A)	Andronov 1964 (A)	
thou-A	Telugu	nuʋʋu		Kolipakam fieldwork (A)	Burrow Emeneau 1961 (A)	DED3684; Te. nīvu, īvu (obl. nī-, nin-).
thou-A	Toda	ni		Kolipakam fieldwork (A)	Burrow Emeneau 1961:327 (A)	no. 3684, form cited is ni·
thou-A	Tulu	i		Kolipakam fieldwork (A)	Burrow Emeneau 1961 (A)	DED3684; Tu. ī (obl. nin-).
thou-A	Yeruva	ni		Kolipakam fieldwork (A)	Verkerk (B)	high quality look-alike
tongue-A	Badga	na:lange		Kolipakam fieldwork (A)	Kolipakam (B)	High-quality look alike to set - 3663 (pg:321), but not in the DED list.
tongue-A	Betta_Kurumba	nelgi		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike toset - 3633
tongue-A	Kannada	na:lige		Kolipakam fieldwork (A)	Burrow Emeneau 1961:321 (A)	set - 3633
tongue-A	Kodava	na:ʋu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:321 (A)	set - 3663
tongue-A	Kolami	na:lka		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:321 (A)	DED3633
tongue-A	Kota	na:lgə		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:321 (A)	DED3633
tongue-A	Koya	na:like		Kolipakam fieldwork (A)	Kolipakam (B)	High-quality look alike to set - 3663 (pg:321), but not in the DED list.
tongue-A	Malayalam	na:kə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:321 (A)	set - 3633
tongue-A	Ollari_Gadba	na:ng		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:321 (A)	DED3633
tongue-A	Parji	nevãḍ		Andronov 1964 (B)	Burrow Emeneau 1961:321 (A)	set - 3633
tongue-A	Tamil	na:kkə		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964:321 (A)	set - 3633
tongue-A	Telugu	na:luka		Kolipakam fieldwork (A)	Burrow Emeneau 1961:321 (A)	set - 3633
tongue-A	Toda	no:f		Kolipakam fieldwork (A)	Burrow Emeneau 1961:321 (A)	set - 3633
tongue-A	Tulu	na:la:ji		Kolipakam fieldwork (A)	Burrow Emeneau 1961:321 (A)	set - 3663
tongue-A	Yeruva	na:ʋu		Kolipakam fieldwork (A)	Kolipakam (B)	High-quality look alike to set - 3663 (pg:321), but not in the DED list.
tongue-B	Kurukh	takkha		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:266 (A)	DED3064
tongue-B	Malto	taɖta		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:266 (A)	Set 3064 "taṛte"
tongue-C	Gondi	ʋendʒeɾ		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:497 (A)	DED5470
tongue-C	Kuwi	ʋenɖa:ɾu		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:497 (A)	DED5470
tongue-D	Brahui	duʋi:		Kolipakam (fieldwork) (A)	Kolipakam (B)	no obvious cognate or entry in DED
tooth-A	Badga	hallə		Kolipakam fieldwork (A)	Kolipakam (A)	Same form in a closely related language
tooth-A	Betta_Kurumba	pallə		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike to set - 3986
tooth-A	Gondi	pal		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:355 (A)	DED3986
tooth-A	Kannada	hallu		Kolipakam fieldwork (A)	Andronov 1964 (A); Burrow Emeneau 1961:355 (A)	; set - 3986
tooth-A	Kodava	pallə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:355 (A)	set - 3986
tooth-A	Kolami	palku		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:355 (A)	DED3986
tooth-A	Kota	pal		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:355 (A)	DED3986
tooth-A	Koya	palk		Kolipakam fieldwork (A)	Kolipakam (A)	Same form as a similar language
tooth-A	Kurukh	pall		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:355 (A)	DED3986
tooth-A	Kuwi	palu		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:355 (A)	DED3986
tooth-A	Malayalam	pallə		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (A); Burrow Emeneau 1961:355 (A)	; Set- 3986
tooth-A	Malto	pa:ldu		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:355 (A)	Set 3986
tooth-A	Ollari_Gadba	pa:lkill		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:355 (A)	DED3986
tooth-A	Parji	pel		Andronov 1964 (B)	Burrow Emeneau 1961:355 (A)	set - 3986
tooth-A	Tamil	pallə		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (A); Burrow Emeneau 1961:355 (A)	; Set- 3986
tooth-A	Telugu	pannu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:355 (A)	set - 3986
tooth-A	Toda	paɾse		Kolipakam fieldwork (A)	Burrow Emeneau 1961:355 (A)	Set- 3986
tooth-A	Yeruva	pallu		Kolipakam fieldwork (A)	Dunn (B)	same as sister languages
tooth-B	Tulu	ku:li		Kolipakam fieldwork (A)	Kolipakam (C)	Self -Identified
tooth-C	Brahui	danda:n	LOAN	Kolipakam (fieldwork) (A)	Kolipakam (L)	possible loan word from hindi - daant
tooth-C	Brahui	danta:n	LOAN	Kolipakam (fieldwork) (A)	Kolipakam (L)	Possible loanword from hindi daant
tree-A	Badga	moɾa		Kolipakam fieldwork (A)	Dunn (B)	very similar form to sister languages
tree-A	Betta_Kurumba	meɾi		Kolipakam fieldwork (A)	Dunn (B)	good lookalike
tree-A	Gondi	maɾa		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:416 (A)	DED4711
tree-A	Kannada	mara		Kolipakam fieldwork (A)	Andronov 1964 (A); Burrow Emeneau 1961:416 (A)	; DED4711: Ka. mara id.
tree-A	Kodava	maɾa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:416 (A)	DED4711: Koḍ. mara id.
tree-A	Kolami	ma:k		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:416 (A)	DED4711
tree-A	Kota	maɾam		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:416 (A)	DED4711
tree-A	Koya	ma:ɾa		Kolipakam fieldwork (A)	Verkerk (B)	High quality look-alike
tree-A	Kurukh	mann		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:416 (A)	DED4711
tree-A	Malayalam	maɾam		Andronov 1964 (B); Kolipakam fieldwork (A)	Burrow Emeneau 1961:416 (A)	DED4711: Ma. maram tree, wood, timber; marakkāl a measure.
tree-A	Parji	meri		Andronov 1964 (B)	Burrow Emeneau 1961:416 (A)	DED4711: Pa. meri (pl. merkul) id. contra Andronov
tree-A	Tamil	maɾam		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED4711 (A)	; DED4711: Ta. maram (in cpds. marattu-) tree, wood, timber; marakkāl
tree-A	Toda	me:n		Kolipakam fieldwork (A)	Burrow Emeneau 1961:416 (A)	DED4711: To. me·ṇ (obl. me·ṇt-) id.
tree-A	Tulu	maɾa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:416 (A)	DED4711: Tu. mara id.;
tree-A	Yeruva	maɾa		Kolipakam fieldwork (A)	Dunn:416 (B)	same as sister languages
tree-B	Telugu	tʃeʈʈu		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Verkerk:DED1941 (A)	; 
tree-C	Malayalam	vrukʂam	LOAN	Kolipakam fieldwork (A)	Buck 1949:49 (L)	Sankrit vṛkṣa-
tree-D	Brahui	dɾahkʰt		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates or entry in DED
tree-E	Kuwi	paʈa		Kolipakam (fieldwork) (A)	Kolipakam (B)	No obvious cognates or entry in DED
two-A	Badga	eɾaɖə		Kolipakam fieldwork (A)	Verkerk (B)	high quality look-alike
two-A	Betta_Kurumba	əddu		Kolipakam fieldwork (A)	Dunn (A)	clear cognate
two-A	Brahui	iɾat		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:46 (A)	DED474
two-A	Gondi	ɾeɳɖu		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:46 (A)	DED474
two-A	Kannada	jeɾaɖu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED474 (A)	DED474; "Ka. eraḍu, erḍu, erar̤ two; adj. iru, ir, ik, ic, etc., īr; irpattu, ippattu twenty; innūṟu 200; irbar, ibbar, irvar two persons; irme, imme twice."
two-A	Kodava	daɳɖə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED474 (A)	DED474; "Koḍ. daṇḍï two things;"
two-A	Kota	eɖu		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:46 (A)	DED474
two-A	Koya	ɾeɳɖ		Kolipakam fieldwork (A)	Verkerk (B)	high quality look-alike
two-A	Kurukh	i:rəb		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:46 (A)	DED474
two-A	Kuwi	rinɖa		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:46 (A)	DED474
two-A	Malayalam	ɾendə		Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED474 (A)	; DED474; "Ma. raṇṭu two;"
two-A	Ollari_Gadba	iɾuɖu		Kolipakam (fieldwork) (A)	Kolipakam (B)	High quality look alike
two-A	Parji	ir(ḍu)		Andronov 1964 (B)	Burrow Emeneau 1961:DED474 (A)	DED474; "Pa. irḍu two things; irul two men; iral two women; adj. ir; iroṭ twice."
two-A	Tamil	ɾenɖə		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED474 (A)	; DED474; "Ta. iraṇṭu, (coll.) reṇṭu two; "
two-A	Telugu	ɾeɳɖu		Kolipakam fieldwork (A)	Andronov 1964 (A); Burrow Emeneau 1961:DED474 (A)	; DED474; "Te. reṇḍu two things;"
two-A	Toda	e:ɖə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED474 (A)	DED474; "To. e·ḍ (obl. e·ḍṇ-/e·ṇ-; e·ḷ- when preceded by plural personal or reflexive pronoun) two; ï foQ twenty; ï nu·ṟ 200; i kwa·w two kwa·x measures; i·r o·ṛ two years; i·r ak two a&cangle;ok measures; i·ṭy double, even (of numbers); ïm double; ïmu twins (pl. ïmua·m twins on more than one occasion); &idieresisside;štyu· twice."
two-A	Tulu	ɾaɖɖu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED474 (A)	DED474; "Tu. raḍḍů two things;"
two-A	Yeruva	iɾandə		Kolipakam fieldwork (A)	Verkerk (B)	high quality look-alike
two-B	Malto	pa:nɖa		Kolipakam (fieldwork) (A)	Kolipakam (B)	No cognate, not in DED
two-C	Malto	maksa		Kolipakam (fieldwork) (A)	Kolipakam (B)	No cognate, not in DED
two-D	Malto	dʒo:ɖsa		Kolipakam (fieldwork) (A)	Kolipakam (B)	No cognate, not in DED
two-E	Kolami	duɖə		Kolipakam (fieldwork) (A)	Kolipakam (B)	No cognate, not in DED
walk-A	Badga	naɖəʋadə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3582 (B)	clear cognate
walk-A	Betta_Kurumba	naɖi		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3582 (B)	clear cognate
walk-A	Kannada	naɖə		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED3582 (A)	; 
walk-A	Kodava	naɖa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3582 (A)	
walk-A	Kota	naɖʋu		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:315 (A)	DED3582
walk-A	Koya	naɖam		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3582 (A)	
walk-A	Malayalam	naɖakkuga		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED3582 (A)	; 
walk-A	Tamil	naɖə		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED3582 (A)	; 
walk-A	Telugu	naɖutʃu		Kolipakam fieldwork (A)	Andronov 1964 (A); Burrow Emeneau 1961:DED3582 (A)	; 
walk-A	Toda	naɖaɾɾə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3582 (A)	
walk-A	Toda	naɖandə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3582 (A)	
walk-A	Tulu	naɖapaɾa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3582 (A)	
walk-A	Yeruva	naɖa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED3582 (B)	clear cognate
walk-B	Kolami	naɖus		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:315 (A)	DED3582
walk-C	Kurukh	e:kʰna		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:85 (A)	DED871
walk-C	Malto	he:kpo		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:85 (A)	Set 871
walk-D	Gondi	taka		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:274 (A)	DED3151
walk-E	Brahui	tʃeɾɾing		Kolipakam (fieldwork) (A)	Kolipakam (B)	Apparent singleton. No entry in DED
warm-A	Brahui	ba:sun		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:503 (A)	DED5517
warm-A	Kannada	betʃtʃage		Andronov 1964 (B); Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED5517 (A)	B&E form: beccage
warm-A	Kodava	bekke		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED5517 (A)	
warm-A	Kolami	ʋekka		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:503 (A)	DED5517
warm-A	Koya	ʋe:ɖ		Kolipakam fieldwork (A)	Jordan (B)	Lookalike with Telegu: ʋetʃtʃa
warm-A	Ollari_Gadba	ʋeʈal		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:503 (A)	DED5517
warm-A	Tamil	ʋedəʋedəppə		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:DED5517 (A)	; 
warm-A	Telugu	ʋetʃtʃa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED5517 (A)	B&E form: vecca
warm-A	Tulu	betʃtʃa		Kolipakam fieldwork (A)	Burrow Emeneau 1961:DED5517 (A)	B&E form: becca
warm-A	Yeruva	bekki		Kolipakam fieldwork (A)	Jordan (B)	Lookalike with Kodava: bekke
warm-B	Malayalam	uṣṇa-	LOAN	Andronov 1964 (L)	Andronov 1964 (L)	
warm-C	Betta_Kurumba	su:ɖə		Kolipakam fieldwork (A)	Jordan (B)	Identical to Tamil form. Might be DED2654?
warm-C	Tamil	su:ɖə		Kolipakam fieldwork (A)	Jordan (B)	Identical to Betta Kurumba form. Might be DED2654?
warm-D	Badga	uppekke		Kolipakam fieldwork (A)	Kolipakam (B)	Not similar to any other cognate class
warm-D	Badga	uppe		Kolipakam fieldwork (A)	Kolipakam (B)	Not similar to any other cognate class
warm-E	Toda	kortilije		Kolipakam fieldwork (A)	Dunn (C)	apparent singleton
warm-F	Malayalam	tʃeɾətʃu:ɖə		Kolipakam fieldwork (A)	Kolipakam (B)	Not similar to any other cognate class
warm-G	Malto	kuɖni		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:DED2654 (A)	Malt. kuṛe (kuṭ-) to burn, roast, sear; kuṛnare to be hot or warm; kuṛni warm, hot.
warm-H	Gondi	ka:sta		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:136 (A)	DED1458
warm-I	Kurukh	udum		Kolipakam (fieldwork) (A)	Kolipakam (B)	apparent singleton. no entry in DED
warm-J	Kurukh	o:ɾtʃka		Kolipakam (fieldwork) (A)	Kolipakam (B)	apparent singleton. no entry in DED
water-A	Tamil	taɳɳi		Andronov 1964 (B); Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:265 (B)	; DED3045 Ta. taṇ cold, cool; grace, love; taṇuppu chilliness, cold; taṇṇīr, taṇṇi cold water, water;
water-B	Malayalam	ʋellam		Kolipakam fieldwork (A)	Andronov 1964 (B); Burrow Emeneau 1961:501 (A)	; DED5503 Ma. veḷḷam water.
water-C	Malayalam	jalam	LOAN	Kolipakam fieldwork (A)	Buck 1949:34 (L)	Skt. jala-
water-D	Kurukh	amm		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:18 (A)	DED187
water-D	Malto	hamdu		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:18 (A)	Malt. amu "water"
water-E	Badga	ni:ɾə		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike to DED3690
water-E	Betta_Kurumba	ni:ɾə		Kolipakam fieldwork (A)		
water-E	Brahui	di:r		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:328 (A)	DED3690
water-E	Kannada	ni:ɾu		Kolipakam fieldwork (A)	Burrow Emeneau 1961:328 (A)	Ta. nīr water, sea, juice, liquor, urine, dampness, moisture; nature, disposition, state, condition; (-pp-, -tt-) to become thin or watery (as liquid food in cooking), be wet, moist; nīrmai property of water, as coolness; īr moisture, wetness, freshness, greenness; īram wet, moisture, humidity, freshness, greenness, coolness; īrali (-pp-, -tt-) to become moist, damp; īri (-pp-, -tt-) to become wet, moist, damp, cool, be benumbed by cold or disease; īrippu dampness, moisture; īriya damp, wet, cold. Ma. nīr water, juice, moisture; īram moisture, dirt; īrikka to grow damp; īrppam dampness; īrmam, īrman damp cloth; īṟam moisture, dirt, wet cloth; īṟan wet cloth. Ko. ni·r water, semen. To. ni·r water; ni·xoy- (ni·xos-) to be thirsty (see 1458); ni· pïkwïḷy water blister (see 4455); ni· pa·w watering-place in stream; i·rm (obl. i·rt-) dampness. Ka. nīr, nīru water; īra moisture, dampness, wetness; (Gul.) nīrki thirst. Koḍ. ni·rï water. Tu. nīrů id. Te. nīru water, urine; nīḷḷu (pl.) water; īmiri moisture. Kol. i·r water. Nk. īr id. Nk. (Ch.) īr water; īr kak- to bathe. Pa. nīr water, general appearance, character. Ga. (Oll. S.) nīr water. Konḍa nīr masu mist, dew (cf. 4641). Kui nīru juice, sap, essence. Br. dīr water, flood-water, juice, sap. / Cf. Skt. nīra- water, juice, liquor; nīvara- water, mud; Turner, CDIAL, no. 7552.
water-E	Kodava	ni:ɾə		Kolipakam fieldwork (A)	Burrow Emeneau 1961:328 (A)	DED3690 Ta. nīr water, sea, juice, liquor, urine, dampness, moisture; nature, disposition, state, condition; (-pp-, -tt-) to become thin or watery (as liquid food in cooking), be wet, moist; nīrmai property of water, as coolness; īr moisture, wetness, freshness, greenness; īram wet, moisture, humidity, freshness, greenness, coolness; īrali (-pp-, -tt-) to become moist, damp; īri (-pp-, -tt-) to become wet, moist, damp, cool, be benumbed by cold or disease; īrippu dampness, moisture; īriya damp, wet, cold. Ma. nīr water, juice, moisture; īram moisture, dirt; īrikka to grow damp; īrppam dampness; īrmam, īrman damp cloth; īṟam moisture, dirt, wet cloth; īṟan wet cloth. Ko. ni·r water, semen. To. ni·r water; ni·xoy- (ni·xos-) to be thirsty (see 1458); ni· pïkwïḷy water blister (see 4455); ni· pa·w watering-place in stream; i·rm (obl. i·rt-) dampness. Ka. nīr, nīru water; īra moisture, dampness, wetness; (Gul.) nīrki thirst. Koḍ. ni·rï water. Tu. nīrů id. Te. nīru water, urine; nīḷḷu (pl.) water; īmiri moisture. Kol. i·r water. Nk. īr id. Nk. (Ch.) īr water; īr kak- to bathe. Pa. nīr water, general appearance, character. Ga. (Oll. S.) nīr water. Konḍa nīr masu mist, dew (cf. 4641). Kui nīru juice, sap, essence. Br. dīr water, flood-water, juice, sap. / Cf. Skt. nīra- water, juice, liquor; nīvara- water, mud; Turner, CDIAL, no. 7552.
water-E	Kolami	i:ɾ		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:328 (A)	DED3690
water-E	Kota	ni:ɾ		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:325 (A)	DED3690
water-E	Koya	e:ɾu		Kolipakam fieldwork (A)	Kolipakam (B)	High quality look alike to DED3690
water-E	Ollari_Gadba	ni:r		Kolipakam (fieldwork) (A)	Burrow Emeneau 1961:328 (A)	DED3690
water-E	Parji	nīr		Andronov 1964 (B)	Burrow Emeneau 1961:328 (A)	DED3690 Pa. nīr water, general appearance, character.
